Row F4:92:BF:5D:7C:63 F4:92:BF:5D:7C:8F F4:92:BF:5D:7C:70 F4:92:BF:5D:80:1C 48:27:E2:84:3C:ED 48:27:E2:84:3D:2D 48:27:E2:84:3D:41 48:27:E2:84:3D:01 48:27:E2:84:3C:F9 00:00:00:00:00:00 X Y
221 -55 -49 -76 -110 -45 -67 -68 -69 -52 41 1 12
222 -58 -42 -76 -110 -24 -73 -64 -70 -54 27 2 12
223 -57 -44 -90 -109 -41 -73 -68 -71 -58 26 3 12
224 -61 -44 -82 -109 -40 -59 -66 -77 -56 15 4 12
225 -57 -45 -82 -110 -54 -72 -64 -65 -52 28 5 12
226 -55 -58 -78 -106 -46 -74 -62 -66 -59 40 0 13
227 -56 -39 -78 -110 -51 -70 -61 -65 -52 48 1 13
228 -56 -46 -77 -110 -43 -71 -61 -76 -55 38 2 13
229 -58 -47 -78 -108 -37 -60 -70 -65 -52 19 3 13
230 -57 -46 -88 -110 -42 -65 -60 -70 -63 18 4 13
231 -53 -44 -79 -110 -50 -67 -61 -70 -49 32 5 13
232 -58 -51 -74 -110 -48 -63 -62 -62 -54 34 0 14
233 -58 -45 -80 -110 -44 -64 -59 -62 -54 42 1 14
234 -54 -46 -77 -107 -50 -62 -67 -72 -57 37 2 14
235 -56 -49 -73 -100 -39 -66 -68 -67 -55 21 3 14
236 -58 -51 -76 -103 -55 -65 -64 -70 -59 24 4 14
237 -54 -47 -73 -108 -47 -77 -67 -73 -61 28 5 14
238 -49 -53 -73 -99 -47 -63 -56 -61 -65 20 0 15
239 -57 -43 -76 -99 -46 -59 -60 -73 -53 26 1 15
240 -55 -46 -77 -99 -47 -64 -57 -67 -49 27 2 15
241 -58 -50 -78 -110 -40 -63 -68 -68 -63 36 3 15
242 -55 -50 -77 -107 -46 -78 -63 -64 -65 37 4 15
243 -60 -49 -69 -106 -64 -64 -63 -72 -50 31 5 15
0 -48 -44 -60 -110 -64 -57 -66 -58 -44 37 0 0
1 -48 -43 -66 -110 -60 -72 -56 -56 -49 34 1 0
