Row F4:92:BF:5D:7C:63 F4:92:BF:5D:7C:8F F4:92:BF:5D:7C:70 F4:92:BF:5D:80:1C 48:27:E2:84:3C:ED 48:27:E2:84:3D:2D 48:27:E2:84:3D:41 48:27:E2:84:3D:01 48:27:E2:84:3C:F9 00:00:00:00:00:00 X Y
157 -53 -30 -81 -109 -62 -59 -63 -64 -54 43 1 6
158 -56 -39 -71 -110 -56 -57 -63 -63 -40 67 2 6
159 -51 -43 -66 -110 -64 -59 -52 -62 -50 54 3 6
160 -53 -49 -68 -104 -61 -67 -52 -64 -52 44 4 6
161 -51 -46 -73 -108 -59 -59 -66 -58 -44 51 5 6
162 -46 -49 -63 -107 -61 -52 -55 -57 -45 32 6 6
163 -44 -48 -71 -110 -56 -51 -48 -60 -46 40 7 6
164 -48 -48 -58 -110 -72 -53 -45 -57 -53 35 8 6
165 -43 -47 -60 -110 -61 -49 -50 -57 -52 30 9 6
166 -43 -52 -56 -110 -68 -51 -47 -57 -61 33 10 6
167 -42 -47 -55 -100 -65 -47 -43 -51 -49 44 11 6
168 -53 -61 -52 -82 -82 -45 -53 -47 -63 68 16 6
169 -47 -58 -46 -85 -73 -45 -52 -43 -70 57 17 6
170 -55 -66 -64 -93 -81 -50 -53 -56 -69 75 20 6
171 -48 -62 -65 -88 -80 -51 -60 -41 -67 33 21 6
172 -60 -66 -66 -72 -82 -66 -66 -59 -69 77 25 6
173 -52 -41 -89 -110 -66 -60 -63 -68 -59 64 0 7
174 -50 -36 -94 -110 -56 -67 -71 -65 -47 51 1 7
175 -52 -37 -75 -109 -57 -65 -62 -71 -47 32 2 7
176 -49 -45 -68 -110 -57 -60 -62 -59 -51 37 3 7
177 -55 -43 -65 -107 -58 -63 -60 -62 -53 44 4 7
178 -49 -44 -61 -108 -51 -51 -52 -54 -53 50 5 7
179 -46 -44 -64 -108 -56 -62 -49 -67 -53 31 6 7
180 -46 -48 -62 -108 -65 -53 -50 -60 -47 32 7 7
181 -48 -44 -60 -109 -64 -60 -48 -61 -54 31 8 7
182 -45 -48 -66 -110 -69 -51 -47 -59 -50 35 9 7
183 -44 -56 -61 -84 -67 -55 -51 -55 -55 34 10 7
184 -44 -46 -54 -76 -79 -60 -54 -67 -56 16 11 7
185 -62 -66 -48 -79 -72 -47 -57 -55 -63 54 16 7
186 -52 -64 -46 -82 -75 -55 -53 -52 -65 54 17 7
187 -57 -65 -68 -85 -79 -56 -63 -43 -68 52 20 7
188 -53 -68 -61 -87 -75 -57 -63 -50 -64 42 21 7
189 -66 -68 -68 -68 -88 -60 -65 -60 -78 73 25 7
190 -51 -30 -66 -105 -51 -58 -55 -66 -47 46 0 8
191 -55 -28 -93 -110 -48 -61 -62 -65 -43 42 1 8
192 -50 -37 -72 -109 -56 -57 -65 -63 -50 29 2 8
193 -58 -42 -71 -107 -59 -56 -58 -60 -50 24 3 8
194 -52 -40 -88 -108 -56 -59 -64 -60 -50 34 4 8
195 -45 -40 -96 -109 -48 -49 -56 -60 -50 33 5 8
196 -43 -50 -78 -109 -67 -58 -50 -61 -50 25 6 8
197 -45 -48 -71 -108 -71 -49 -51 -53 -55 30 7 8
198 -45 -58 -65 -103 -62 -55 -50 -70 -55 25 8 8
199 -46 -49 -59 -97 -64 -53 -48 -69 -51 33 9 8
200 -46 -51 -58 -102 -70 -55 -48 -59 -64 46 10 8
201 -35 -54 -49 -75 -64 -56 -46 -65 -53 37 11 8
202 -55 -65 -51 -78 -73 -53 -56 -44 -70 42 16 8
203 -50 -62 -44 -75 -74 -66 -57 -51 -68 44 17 8
204 -57 -73 -50 -76 -88 -57 -62 -53 -69 89 20 8
205 -58 -75 -55 -71 -86 -61 -63 -50 -68 47 21 8
206 -69 -75 -56 -64 -85 -71 -74 -65 -77 43 25 8
207 -53 -48 -65 -104 -50 -59 -58 -63 -50 27 5 9
208 -56 -40 -83 -107 -50 -64 -59 -71 -61 63 0 10
209 -60 -28 -85 -108 -45 -59 -63 -70 -51 41 1 10
210 -54 -38 -95 -110 -51 -58 -55 -72 -51 39 2 10
211 -55 -46 -80 -109 -42 -64 -60 -69 -54 34 3 10
212 -48 -42 -81 -108 -52 -66 -56 -66 -51 27 4 10
213 -59 -49 -80 -109 -51 -56 -64 -63 -50 30 5 10
214 -55 -41 -73 -109 -43 -65 -66 -75 -55 46 0 11
215 -57 -39 -85 -109 -44 -66 -62 -63 -52 37 1 11
216 -61 -40 -109 -110 -53 -58 -76 -65 -63 33 2 11
217 -54 -37 -74 -109 -41 -62 -66 -69 -56 24 3 11
218 -60 -53 -83 -109 -52 -63 -59 -60 -52 21 4 11
219 -56 -42 -91 -109 -51 -64 -59 -65 -52 25 5 11
220 -56 -41 -71 -105 -47 -59 -63 -75 -53 40 0 12
